Cas	He	Hs	Te	Ts	Diam_WR	WRyoung	offset ini	mu_ini	Force	G
1	19.714	8.855	0.000	0.000	737.928	216000.000	0.000	0.000	431.830	0.000
2	20.286	11.111	0.114	0.000	737.928	216000.000	0.000	0.000	1414.630	0.000
3	20.485	11.332	1.236	0.000	737.928	216000.000	0.000	0.000	1411.470	0.000
4	20.559	11.565	5.201	0.000	737.928	216000.000	0.000	0.000	1386.540	0.000
5	20.665	11.654	9.679	0.000	737.928	216000.000	0.000	0.000	1372.680	0.000
6	20.732	11.734	10.613	0.000	737.928	216000.000	0.000	0.000	1380.410	0.000
7	20.766	11.759	10.246	0.000	737.928	216000.000	0.000	0.000	1401.480	0.000
8	20.761	11.765	10.102	0.000	737.928	216000.000	0.000	0.000	1409.920	0.000
9	20.786	11.767	10.549	0.000	737.928	216000.000	0.000	0.000	1412.490	0.000
10	20.731	11.772	10.425	0.000	737.928	216000.000	0.000	0.000	1419.340	0.000
11	20.768	11.768	10.422	0.000	737.928	216000.000	0.000	0.000	1412.360	0.000
12	20.845	11.785	10.228	0.000	737.928	216000.000	0.000	0.000	1435.250	0.000
13	20.851	11.760	10.000	0.000	737.928	216000.000	0.000	0.000	1425.090	0.000
14	20.871	11.815	10.510	1.398	737.928	216000.000	171.956	0.194	1463.550	6.800
15	20.878	11.840	9.253	5.266	737.928	216000.000	0.000	0.000	1493.420	14.300
16	20.869	11.820	8.486	11.779	737.928	216000.000	0.000	0.000	1479.670	13.600
17	20.880	11.818	9.005	14.938	737.928	216000.000	172.834	0.202	1479.650	8.100
18	20.873	11.774	9.505	16.059	737.928	216000.000	179.983	0.175	1450.460	6.900
19	20.857	11.777	11.023	16.473	737.928	216000.000	175.237	0.190	1446.230	7.500
20	20.780	11.761	11.404	14.906	737.928	216000.000	172.370	0.196	1434.720	7.600
21	20.811	11.755	11.712	15.111	737.928	216000.000	172.498	0.194	1429.370	7.500
22	20.821	11.769	11.198	14.424	737.928	216000.000	170.411	0.201	1438.610	7.800
23	20.795	11.780	10.080	12.214	737.928	216000.000	162.079	0.229	1449.940	8.800
24	20.777	11.773	9.512	11.377	737.928	216000.000	163.449	0.220	1444.510	8.500
25	20.795	11.769	9.208	11.696	737.928	216000.000	165.381	0.210	1438.260	8.200
26	20.803	11.756	9.576	12.217	737.928	216000.000	159.284	0.229	1431.210	8.900
27	20.781	11.745	10.225	12.860	737.928	216000.000	162.586	0.219	1427.200	8.500
28	20.786	11.750	10.658	12.842	737.928	216000.000	162.616	0.220	1428.050	8.500
29	20.773	11.759	10.624	12.829	737.928	216000.000	162.582	0.223	1434.560	8.600
30	20.782	11.763	11.020	13.702	737.928	216000.000	165.908	0.214	1437.220	8.300
